# experiment=tree_reuse engine=helix-f3270d5 date=20260808-144106
# games=tests/data/thesis-games.txt budget_ms=500 mode=keep game_count=30
game_id,ply,side,mode,completed_depth,seldepth,nodes,qnodes,researches,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,played_move
1,42,w,keep,9,19,794624,429596,5,188427,43250,58115,30052,0.2295,474,d3d6,h4h5
1,43,b,keep,8,18,933888,496339,26,156907,23518,51510,28217,0.1499,475,d6g3,d6g3
1,44,w,keep,8,17,941056,489627,1,158514,35814,53677,26289,0.2259,474,e1d2,e1d2
1,45,b,keep,8,19,780288,434224,8,194427,32415,55304,31164,0.1667,475,d7h3,d7h3
1,46,w,keep,8,18,934912,488743,1,163844,39864,53551,26491,0.2433,474,d2c1,d2c1
1,47,b,keep,7,17,1009664,527944,0,149649,18163,51053,35315,0.1214,475,g3f4,c8e8
1,48,w,keep,7,18,749568,429165,6,191959,36443,53925,29304,0.1898,474,d3d7,d1d2
2,0,w,keep,8,21,776870,418051,35,193726,31254,54047,840,0.1613,458,e2e4,c2c4
2,1,b,keep,8,21,622000,335193,4,147163,19198,41760,1954,0.1305,361,b8c6,g7g6
2,2,w,keep,8,20,881633,452918,47,172359,34818,54008,3520,0.2020,469,e2e4,d2d4
2,3,b,keep,7,22,951296,499906,5,153699,29279,45712,3511,0.1905,474,f8g7,f8g7
2,4,w,keep,8,25,746496,415242,25,173770,21909,43238,5153,0.1261,475,e2e4,e2e4
2,5,b,keep,7,22,779264,445150,0,142041,6768,32032,4944,0.0476,474,b8c6,d7d6
2,6,w,keep,7,22,792084,422441,11,117070,18159,33192,4691,0.1551,412,g1f3,b1c3
2,7,b,keep,7,24,714752,425942,20,171962,18708,32272,4899,0.1088,476,g8f6,b8d7
2,8,w,keep,6,22,814080,459618,33,156714,18156,35351,5542,0.1159,474,g1f3,g1f3
2,9,b,keep,7,23,746496,444919,2,163388,13539,33974,6805,0.0829,475,c7c5,c7c5
2,10,w,keep,7,22,918528,500698,6,134327,16850,33618,6327,0.1254,474,d4d5,d4d5
2,11,b,keep,7,23,764928,450464,20,157513,10431,31164,7266,0.0662,475,g8f6,g8f6
2,12,w,keep,7,28,685056,439808,10,173248,9973,26415,6188,0.0576,475,f1e2,f1e2
2,13,b,keep,7,24,750592,468423,4,175613,10413,29970,7935,0.0593,475,e8g8,b7b6
2,14,w,keep,7,21,663195,364860,28,106473,14192,25858,6106,0.1333,361,e1g1,e1g1
2,15,b,keep,7,25,786432,473404,8,171113,10492,31337,8875,0.0613,474,c8b7,c8b7
2,16,w,keep,7,28,715776,456173,6,200752,17328,32672,9312,0.0863,475,c1f4,c1f4
2,17,b,keep,7,26,835584,504981,2,168006,12058,30326,9406,0.0718,474,e8g8,a7a6
2,18,w,keep,6,24,837632,504202,28,173738,22346,30119,7445,0.1286,476,d1c2,d1d2
2,19,b,keep,7,25,646172,441234,8,175558,8948,22090,6911,0.0510,448,e8g8,d8c7
2,20,w,keep,7,26,847872,508047,3,177000,17987,31424,9651,0.1016,475,f4h6,f4h6
2,21,b,keep,7,24,913408,544425,1,159477,14764,25492,7751,0.0926,476,e8g8,g7f8
2,22,w,keep,6,26,661504,447947,5,197553,12531,27222,9453,0.0634,475,a1d1,h6f8
2,23,b,keep,7,20,901120,520868,1,155978,16255,34421,12620,0.1042,475,h8f8,e8f8
2,24,w,keep,7,19,914503,479052,3,108044,14058,31567,11533,0.1301,379,d2h6,d2h6
2,25,b,keep,7,19,915456,536387,15,171856,16811,36609,12517,0.0978,475,f8g8,f8e8
2,26,w,keep,6,23,791552,490221,20,202241,19130,34633,12992,0.0946,475,h2h3,f3g5
2,27,b,keep,6,19,647168,448363,27,191728,16642,32805,12305,0.0868,475,d7e5,h8f8
2,28,w,keep,7,24,782888,455632,14,118802,15045,27722,9884,0.1266,387,a1d1,a1d1
2,29,b,keep,7,26,711680,474039,1,177668,13014,30585,12831,0.0732,475,a8d8,b6b5
2,30,w,keep,7,23,768000,526343,6,165766,11149,27871,11507,0.0673,474,c4b5,c4b5
2,31,b,keep,7,23,859136,549123,0,149364,9715,26058,11239,0.0650,474,a6b5,c5c4
2,32,w,keep,6,23,825344,547583,5,154981,11059,27646,12188,0.0714,474,g5h7,g5h7
2,33,b,keep,7,25,921600,555668,8,162283,19496,33961,14073,0.1201,477,f6h7,f6h7
2,34,w,keep,7,22,638976,452015,1,226655,26892,38894,19646,0.1186,475,h6h7,h6h7
2,35,b,keep,7,20,994304,575109,0,156445,14376,31872,14561,0.0919,475,a6b5,c7c5
2,36,w,keep,7,19,742980,455945,27,138216,16199,27998,11364,0.1172,394,a2a4,a2a4
2,37,b,keep,6,20,623616,470082,18,223018,17371,35839,16034,0.0779,474,a8d8,c5b4
2,38,w,keep,6,20,450796,345171,22,161043,11066,22200,10362,0.0687,349,d1d2,d1d2
2,39,b,keep,6,24,649216,492864,18,212472,13954,28385,13195,0.0657,474,d7e5,d7e5
2,40,w,keep,7,25,879616,551612,13,161065,15690,27820,11428,0.0974,475,h7h6,h7h6
2,41,b,keep,7,25,783360,521304,5,172908,9691,27674,14379,0.0560,474,a8d8,b4c5
2,42,w,keep,6,22,692224,501033,31,192131,15485,25755,11475,0.0806,475,d2d1,h2h4
2,43,b,keep,7,21,731136,515548,6,176695,17872,24196,9613,0.1011,475,a8d8,f7f6
2,44,w,keep,7,22,804864,514392,20,168069,14098,32906,15843,0.0839,474,h4h5,h4h5
2,45,b,keep,7,24,800768,519816,7,171370,17825,30301,13831,0.1040,474,g6g5,g6g5
2,46,w,keep,7,23,698368,479901,31,197581,16703,34393,17907,0.0845,475,d2d1,f1c1
2,47,b,keep,6,23,680960,478344,55,192693,18754,30381,13286,0.0973,474,a8d8,f8g8
2,48,w,keep,6,20,783360,495773,18,169085,19019,35327,17768,0.1125,474,h6h7,h6h7
2,49,b,keep,7,24,726016,466225,4,172726,15058,34715,19295,0.0872,475,g8f8,e8d7
2,50,w,keep,6,19,780288,487427,24,168032,19731,39735,20886,0.1174,475,h5h6,h5h6
2,51,b,keep,8,21,717956,454106,1,161464,22833,32596,17986,0.1414,450,g8h8,a8d8
2,52,w,keep,6,22,722944,479533,16,182699,14546,34880,19628,0.0796,474,d2d1,d2d1
2,53,b,keep,6,22,587776,428675,14,202570,15319,34319,20193,0.0756,475,a6b5,g5g4
2,54,w,keep,6,21,446326,337455,31,142717,7316,20777,12209,0.0513,358,b2b3,h7f5
2,55,b,keep,7,24,740352,504809,15,169519,12690,30426,16418,0.0749,475,d7c7,d7e8
2,56,w,keep,7,23,731136,475735,25,162806,17068,35979,18999,0.1048,475,h6h7,h6h7
2,57,b,keep,7,24,912384,549343,11,142649,19196,33100,16681,0.1346,475,g8f8,e8f8
2,58,w,keep,7,21,724312,455797,14,118094,9162,24353,14656,0.0776,393,h7g8n,h7g8n
