# experiment=time_to_quality engine=helix-f3270d5 date=20260808-032642
# suite=tests/data/stockfish-bench-all.epd nmp=on reps=3 positions=309
fen_id,fen,budget_ms,rep,nmp,bestmove,completed_depth,nodes,time_ms,stop_reason
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,50,1,on,b4f4,8,54254,35,soft_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,50,2,on,b4f4,8,54254,35,soft_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,100,0,on,b4f4,8,166912,95,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,100,1,on,b4f4,8,166912,95,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,100,2,on,b4f4,8,164864,94,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,250,0,on,b4f4,10,286055,177,soft_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,250,1,on,b4f4,10,286055,177,soft_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,250,2,on,b4f4,10,286055,177,soft_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,500,0,on,b4f4,11,823296,474,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,500,1,on,b4f4,11,823296,475,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,500,2,on,b4f4,11,814080,474,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,1000,0,on,b4f4,12,1107341,699,soft_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,1000,1,on,b4f4,12,1558528,949,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,1000,2,on,b4f4,12,1580032,950,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,2000,0,on,b4f4,13,3335168,1899,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,2000,1,on,b4f4,13,3351552,1900,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,2000,2,on,b4f4,13,3345408,1900,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,5000,0,on,b4f4,13,8290304,4749,hard_time
