# experiment=pvs_sweep engine=helix-f3270d5 date=20260808-073948
# suite=tests/data/stockfish-bench-all.epd budget_ms=1000 reps=3 min_depth=1..6 scout_after=1..5 positions=309
fen_id,fen,min_depth,scout_after,rep,completed_depth,seldepth,nodes,qnodes,researches,tt_probes,tt_hits,tt_hit_rate,time_ms,bestmove
12,3r1rk1/p5pp/bpp1pp2/8/q1PP1P2/b3P3/P2NQRPP/1R2B1K1 b - - 6 22,1,1,1,6,21,1538048,1008341,110,409534,31524,0.0770,949,a3d6
12,3r1rk1/p5pp/bpp1pp2/8/q1PP1P2/b3P3/P2NQRPP/1R2B1K1 b - - 6 22,1,1,2,6,21,1488896,978502,110,399220,31255,0.0783,952,a3d6
13,r1q2rk1/2p1bppp/2Pp4/p6b/Q1PNp3/4B3/PP1R1PPP/2K4R w - - 2 18,1,1,0,8,21,1444457,863683,36,342135,41618,0.1216,842,h2h3
13,r1q2rk1/2p1bppp/2Pp4/p6b/Q1PNp3/4B3/PP1R1PPP/2K4R w - - 2 18,1,1,1,8,21,1444457,863683,36,342135,41618,0.1216,865,h2h3
13,r1q2rk1/2p1bppp/2Pp4/p6b/Q1PNp3/4B3/PP1R1PPP/2K4R w - - 2 18,1,1,2,8,21,1444457,863683,36,342135,41618,0.1216,854,h2h3
14,4k2r/1pb2ppp/1p2p3/1R1p4/3P4/2r1PN2/P4PPP/1R4K1 b - - 3 22,1,1,0,8,20,1162623,702525,116,364750,36493,0.1000,744,e8e7
14,4k2r/1pb2ppp/1p2p3/1R1p4/3P4/2r1PN2/P4PPP/1R4K1 b - - 3 22,1,1,1,8,20,1162623,702525,116,364750,36493,0.1000,746,e8e7
14,4k2r/1pb2ppp/1p2p3/1R1p4/3P4/2r1PN2/P4PPP/1R4K1 b - - 3 22,1,1,2,8,20,1162623,702525,116,364750,36493,0.1000,749,e8e7
15,3q2k1/pb3p1p/4pbp1/2r5/PpN2N2/1P2P2P/5PP1/Q2R2K1 b - - 4 26,1,1,0,7,20,1664000,1009370,136,375491,34644,0.0923,949,c5d5
15,3q2k1/pb3p1p/4pbp1/2r5/PpN2N2/1P2P2P/5PP1/Q2R2K1 b - - 4 26,1,1,1,7,20,1664000,1009370,136,375491,34644,0.0923,949,c5d5
15,3q2k1/pb3p1p/4pbp1/2r5/PpN2N2/1P2P2P/5PP1/Q2R2K1 b - - 4 26,1,1,2,7,20,1661952,1007876,136,374620,34569,0.0923,950,c5d5
16,6k1/6p1/6Pp/ppp5/3pn2P/1P3K2/1PP2P2/3N4 b - - 0 1,1,1,0,11,19,1422336,725159,364,471087,83778,0.1778,949,e4f6
16,6k1/6p1/6Pp/ppp5/3pn2P/1P3K2/1PP2P2/3N4 b - - 0 1,1,1,1,11,19,1421312,724586,364,470786,83767,0.1779,949,e4f6
16,6k1/6p1/6Pp/ppp5/3pn2P/1P3K2/1PP2P2/3N4 b - - 0 1,1,1,2,11,19,1408000,717254,364,466371,83582,0.1792,950,e4f6
17,3b4/5kp1/1p1p1p1p/pP1PpP1P/P1P1P3/3KN3/8/8 w - - 0 1,1,1,0,15,22,1455104,636197,236,573473,196020,0.3418,950,c4c5
17,3b4/5kp1/1p1p1p1p/pP1PpP1P/P1P1P3/3KN3/8/8 w - - 0 1,1,1,1,15,22,1455104,636197,236,573473,196020,0.3418,949,c4c5
17,3b4/5kp1/1p1p1p1p/pP1PpP1P/P1P1P3/3KN3/8/8 w - - 0 1,1,1,2,15,22,1454080,635730,236,572993,195885,0.3419,949,c4c5
18,2K5/p7/7P/5pR1/8/5k2/r7/8 w - - 4 3,1,1,0,10,15,1623040,686475,153,521021,164546,0.3158,949,h6h7
18,2K5/p7/7P/5pR1/8/5k2/r7/8 w - - 4 3,1,1,1,10,15,1640448,694522,153,523720,165321,0.3157,949,h6h7
18,2K5/p7/7P/5pR1/8/5k2/r7/8 w - - 4 3,1,1,2,10,15,1667072,706747,153,527886,166411,0.3152,951,h6h7
19,8/6pk/1p6/8/PP3p1p/5P2/4KP1q/3Q4 w - - 0 1,1,1,0,12,17,1516446,697306,189,470605,207322,0.4405,841,d1c2
19,8/6pk/1p6/8/PP3p1p/5P2/4KP1q/3Q4 w - - 0 1,1,1,1,12,17,1516446,697306,189,470605,207322,0.4405,836,d1c2
19,8/6pk/1p6/8/PP3p1p/5P2/4KP1q/3Q4 w - - 0 1,1,1,2,12,17,1516446,697306,189,470605,207322,0.4405,828,d1c2
20,7k/3p2pp/4q3/8/4Q3/5Kp1/P6b/8 w - - 0 1,1,1,0,13,17,1865728,827124,73,472857,207594,0.4390,949,e4e6
20,7k/3p2pp/4q3/8/4Q3/5Kp1/P6b/8 w - - 0 1,1,1,1,13,17,1861632,824773,73,471222,207451,0.4402,950,e4e6
20,7k/3p2pp/4q3/8/4Q3/5Kp1/P6b/8 w - - 0 1,1,1,2,13,17,1872896,830932,73,475021,207838,0.4375,951,e4e6
21,8/2p5/8/2kPKp1p/2p4P/2P5/3P4/8 w - - 0 1,1,1,0,14,20,1519616,550874,192,614733,338484,0.5506,949,e5f5
21,8/2p5/8/2kPKp1p/2p4P/2P5/3P4/8 w - - 0 1,1,1,1,14,20,1513472,548734,192,612710,337325,0.5505,949,e5f5
21,8/2p5/8/2kPKp1p/2p4P/2P5/3P4/8 w - - 0 1,1,1,2,14,20,1521664,551802,192,614960,338544,0.5505,950,e5f5
22,8/1p3pp1/7p/5P1P/2k3P1/8/2K2P2/8 w - - 0 1,1,1,0,13,20,1456128,527645,148,628569,324578,0.5164,949,g4g5
22,8/1p3pp1/7p/5P1P/2k3P1/8/2K2P2/8 w - - 0 1,1,1,1,13,20,1460224,529286,148,629981,325026,0.5159,949,g4g5
22,8/1p3pp1/7p/5P1P/2k3P1/8/2K2P2/8 w - - 0 1,1,1,2,13,20,1459200,528909,148,629547,324869,0.5160,950,g4g5
23,8/pp2r1k1/2p1p3/3pP2p/1P1P1P1P/P5KR/8/8 w - - 0 1,1,1,0,12,19,1294375,603310,246,402239,124768,0.3102,789,f4f5
23,8/pp2r1k1/2p1p3/3pP2p/1P1P1P1P/P5KR/8/8 w - - 0 1,1,1,1,12,19,1294375,603310,246,402239,124768,0.3102,790,f4f5
23,8/pp2r1k1/2p1p3/3pP2p/1P1P1P1P/P5KR/8/8 w - - 0 1,1,1,2,12,19,1294375,603310,246,402239,124768,0.3102,797,f4f5
24,8/3p4/p1bk3p/Pp6/1Kp1PpPp/2P2P1P/2P5/5B2 b - - 0 1,1,1,0,13,24,1410048,704830,199,517913,165415,0.3194,950,d6c7
24,8/3p4/p1bk3p/Pp6/1Kp1PpPp/2P2P1P/2P5/5B2 b - - 0 1,1,1,1,13,24,1395712,697430,199,511163,163637,0.3201,949,d6c7
24,8/3p4/p1bk3p/Pp6/1Kp1PpPp/2P2P1P/2P5/5B2 b - - 0 1,1,1,2,13,24,1424384,712689,199,524597,167061,0.3185,950,d6c7
25,5k2/7R/4P2p/5K2/p1r2P1p/8/8/8 b - - 0 1,1,1,0,11,16,1349217,621289,113,414456,121055,0.2921,890,h6h5
25,5k2/7R/4P2p/5K2/p1r2P1p/8/8/8 b - - 0 1,1,1,1,11,16,1349217,621289,113,414456,121055,0.2921,889,h6h5
25,5k2/7R/4P2p/5K2/p1r2P1p/8/8/8 b - - 0 1,1,1,2,11,16,1349217,621289,113,414456,121055,0.2921,877,h6h5
26,6k1/6p1/P6p/r1N5/5p2/7P/1b3PP1/4R1K1 w - - 0 1,1,1,0,9,17,1735374,873726,75,389348,71973,0.1849,922,c5d3
26,6k1/6p1/P6p/r1N5/5p2/7P/1b3PP1/4R1K1 w - - 0 1,1,1,1,9,17,1735374,873726,75,389348,71973,0.1849,911,c5d3
26,6k1/6p1/P6p/r1N5/5p2/7P/1b3PP1/4R1K1 w - - 0 1,1,1,2,9,17,1735374,873726,75,389348,71973,0.1849,925,c5d3
27,1r3k2/4q3/2Pp3b/3Bp3/2Q2p2/1p1P2P1/1P2KP2/3N4 w - - 0 1,1,1,0,7,19,1601536,927609,48,376717,41140,0.1092,949,d1c3
27,1r3k2/4q3/2Pp3b/3Bp3/2Q2p2/1p1P2P1/1P2KP2/3N4 w - - 0 1,1,1,1,7,19,1592320,922710,48,375388,40662,0.1083,949,d1c3
27,1r3k2/4q3/2Pp3b/3Bp3/2Q2p2/1p1P2P1/1P2KP2/3N4 w - - 0 1,1,1,2,7,19,1583104,917650,48,373734,40206,0.1076,949,d1c3
28,6k1/4pp1p/3p2p1/P1pPb3/R7/1r2P1PP/3B1P2/6K1 w - - 0 1,1,1,0,9,17,1826816,914662,144,389298,87036,0.2236,949,a5a6
28,6k1/4pp1p/3p2p1/P1pPb3/R7/1r2P1PP/3B1P2/6K1 w - - 0 1,1,1,1,9,17,1817600,910166,144,388387,86710,0.2233,950,a5a6
