# experiment=tree_reuse engine=helix-f3270d5 date=20260808-145828
# games=tests/data/thesis-games.txt budget_ms=500 mode=clear game_count=30
game_id,ply,side,mode,completed_depth,seldepth,nodes,qnodes,researches,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,played_move
0,19,b,clear,8,20,708608,428709,5,150360,14685,36733,592,0.0977,474,c8d7,c8d7
0,20,w,clear,7,19,830464,471821,5,130078,15229,34109,426,0.1171,474,c6a8,c6a8
0,21,b,clear,6,18,803840,457162,6,128680,14137,33537,439,0.1099,474,c3d2,c3a5
0,22,w,clear,7,20,667648,384534,42,172888,19621,41989,560,0.1135,474,a8b7,a8b7
0,23,b,clear,6,18,677888,388059,42,171288,19422,42176,588,0.1134,474,c7c6,d7b5
0,24,w,clear,7,18,719872,410095,30,148061,12887,38406,495,0.0870,476,a2a4,d1b3
0,25,b,clear,6,16,686080,397873,41,134539,11922,32785,329,0.0886,474,d8d7,c7c6
0,26,w,clear,8,19,713224,404975,11,139330,20236,37885,450,0.1452,457,a2a4,a2a4
0,27,b,clear,7,18,742400,431003,22,138917,20496,40232,498,0.1475,474,b5d3,f6e4
0,28,w,clear,7,17,584567,366297,23,130516,14543,31279,273,0.1114,418,a4b5,a4b5
0,29,b,clear,6,18,670720,446288,32,170496,12912,32283,321,0.0757,474,e8g8,e8g8
0,30,w,clear,6,17,716800,481488,42,183980,16179,35127,355,0.0879,474,e1g1,e1g1
0,31,b,clear,6,17,621342,424010,27,166725,13543,31019,280,0.0812,394,a5b6,e4c5
0,32,w,clear,7,16,995328,564551,14,170124,19385,45552,739,0.1139,474,b3a3,b3a3
0,33,b,clear,7,18,918967,522395,11,158698,16761,42320,638,0.1056,444,a5b6,a5b6
0,34,w,clear,7,17,866304,515077,19,189137,17550,41394,666,0.0928,475,b7c6,b7c6
0,35,b,clear,7,17,860160,517172,40,187290,14376,39163,575,0.0768,475,c5d3,c5d3
0,36,w,clear,6,17,765952,480125,42,198380,16816,41109,532,0.0848,475,a3c3,c6e4
0,37,b,clear,7,18,765798,445854,64,153514,17133,35547,404,0.1116,407,d3c5,d3f2
0,38,w,clear,7,17,711680,417819,23,181279,21300,42280,584,0.1175,476,f1f2,f1f2
0,39,b,clear,7,18,741376,417156,24,160310,22587,41807,564,0.1409,475,f8e8,g7g5
0,40,w,clear,7,18,686593,416910,32,170944,14146,31137,340,0.0828,471,a3f3,a3f3
0,41,b,clear,6,16,832512,454874,47,157207,23056,52089,783,0.1467,475,d8d4,g5g4
0,42,w,clear,8,17,751616,420746,39,171215,33671,45555,715,0.1967,475,f3g4,f3g4
0,43,b,clear,8,17,702464,400945,55,181552,27277,51264,908,0.1502,476,g8h8,g8h8
0,44,w,clear,7,16,701440,400510,55,181351,27165,51114,906,0.1498,474,g4f5,g4f5
0,45,b,clear,8,16,743424,429222,36,188508,24908,53965,934,0.1321,476,b6f2,b6f2
1,0,w,clear,8,21,776870,418051,35,193726,31254,54047,840,0.1613,463,e2e4,c2c4
1,1,b,clear,8,21,797696,434416,19,190975,24983,52574,947,0.1308,475,e7e5,g8f6
1,2,w,clear,8,19,699468,374770,21,151489,19986,42008,674,0.1319,388,g1f3,b1c3
1,3,b,clear,8,21,738498,413567,30,179641,22172,44001,635,0.1234,448,e7e5,e7e5
1,4,w,clear,7,21,838656,465220,19,165702,15942,42087,641,0.0962,475,g1f3,g1f3
1,5,b,clear,7,20,581271,340295,20,132564,8259,27802,309,0.0623,362,b8c6,b8c6
1,6,w,clear,6,27,583680,385494,23,195957,15444,33160,358,0.0788,474,e2e4,g2g3
1,7,b,clear,6,23,673792,405855,34,182660,15471,35721,441,0.0847,475,f8b4,d7d5
