# experiment=tt_sweep engine=helix-f3270d5 date=20260808-012157
# suite=tests/data/stockfish-bench-all.epd budget_ms=1000 reps=3 mb=1,4,16,64,256 entry_bytes=32 positions=309
fen_id,tt_mb,rep,completed_depth,seldepth,nodes,qnodes,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
26,1,0,8,17,1647616,853328,480275,55920,148487,98874,0.1164,950,c5d3,hard_time
26,1,1,8,17,1611776,834210,471640,55379,146169,96673,0.1174,950,c5d3,hard_time
26,1,2,8,17,1611776,834210,471640,55379,146169,96673,0.1174,950,c5d3,hard_time
27,1,0,7,19,1539072,918554,413574,26866,89743,50626,0.0650,950,d1c3,hard_time
27,1,1,7,19,1533952,915561,412440,26797,89435,50343,0.0650,951,d1c3,hard_time
27,1,2,7,19,1536000,916763,412902,26849,89544,50443,0.0650,949,d1c3,hard_time
28,1,0,8,19,1593344,837079,502198,72419,136732,98072,0.1442,950,a5a6,hard_time
28,1,1,8,19,1593344,837079,502198,72419,136732,98072,0.1442,949,a5a6,hard_time
28,1,2,8,19,1593344,837079,502198,72419,136732,98072,0.1442,949,a5a6,hard_time
29,1,0,12,17,2348032,1002160,503086,252329,194971,112597,0.5016,950,b3a4,hard_time
29,1,1,12,17,2336768,997316,500961,251745,193833,111557,0.5025,949,b3a4,hard_time
29,1,2,12,17,2340864,999107,501727,251934,194183,111870,0.5021,949,b3a4,hard_time
30,1,0,7,18,1545216,968121,437018,31102,85795,46764,0.0712,950,g3d6,hard_time
30,1,1,7,18,1550336,971833,438958,31172,86151,47078,0.0710,950,g3d6,hard_time
30,1,2,7,18,1550336,971833,438958,31172,86151,47078,0.0710,950,g3d6,hard_time
31,1,0,6,22,1632256,1144907,345208,13543,53401,23807,0.0392,949,d3g6,hard_time
31,1,1,6,22,1629184,1142350,344117,13541,53307,23743,0.0393,950,d3g6,hard_time
31,1,2,6,22,1630208,1143279,344572,13542,53346,23770,0.0393,949,d3g6,hard_time
32,1,0,6,22,1632256,1004015,341857,22856,63695,27222,0.0669,951,a1c1,hard_time
32,1,1,6,22,1667072,1024668,347978,23161,64906,28162,0.0666,950,a1c1,hard_time
32,1,2,6,22,1676288,1030406,349596,23241,65197,28384,0.0665,951,a1c1,hard_time
33,1,0,7,20,1287566,896024,312302,13566,53184,23558,0.0434,837,h4h3,soft_time
33,1,1,7,20,1287566,896024,312302,13566,53184,23558,0.0434,847,h4h3,soft_time
33,1,2,7,20,1287566,896024,312302,13566,53184,23558,0.0434,842,h4h3,soft_time
34,1,0,7,21,1592320,1023477,334542,20428,70020,32829,0.0611,950,b6d7,hard_time
34,1,1,7,21,1593344,1024369,334954,20438,70069,32869,0.0610,950,b6d7,hard_time
34,1,2,7,21,1581056,1014510,330137,20291,69150,32126,0.0615,949,b6d7,hard_time
35,1,0,6,19,1505280,1032025,447331,18574,59472,25317,0.0415,949,d2g5,hard_time
35,1,1,6,19,1492992,1022636,443659,18510,59277,25178,0.0417,949,d2g5,hard_time
35,1,2,6,19,1508352,1034528,448235,18576,59503,25339,0.0414,950,d2g5,hard_time
36,1,0,0,19,974848,974846,583918,0,0,0,0.0000,950,h1g1,hard_time
36,1,1,0,19,991232,991230,593492,0,0,0,0.0000,950,h1g1,hard_time
36,1,2,0,19,974848,974846,583918,0,0,0,0.0000,949,h1g1,hard_time
37,1,0,5,23,1097540,841882,348548,6198,15122,2580,0.0178,717,c3e1,soft_time
37,1,1,5,23,1097540,841882,348548,6198,15122,2580,0.0178,725,c3e1,soft_time
37,1,2,5,23,1097540,841882,348548,6198,15122,2580,0.0178,726,c3e1,soft_time
38,1,0,13,15,1472611,546725,465176,281149,172943,91203,0.6044,731,b1c2,soft_time
38,1,1,13,15,1472611,546725,465176,281149,172943,91203,0.6044,730,b1c2,soft_time
38,1,2,13,15,1472611,546725,465176,281149,172943,91203,0.6044,734,b1c2,soft_time
39,1,0,10,12,1363155,465565,623205,278929,238020,176781,0.4476,752,d1c2,soft_time
39,1,1,10,12,1363155,465565,623205,278929,238020,176781,0.4476,755,d1c2,soft_time
39,1,2,10,12,1363155,465565,623205,278929,238020,176781,0.4476,751,d1c2,soft_time
40,1,0,8,9,2822144,1202837,463675,274372,166159,115017,0.5917,949,e3c5,hard_time
40,1,1,9,9,2826898,1204764,464575,274980,166474,115309,0.5919,949,e3c5,soft_time
40,1,2,8,9,2814976,1199848,462485,273517,165809,114683,0.5914,950,e3c5,hard_time
41,1,0,9,14,1874944,840897,467624,106620,188304,132384,0.2280,950,b6b7,hard_time
