# experiment=depth_vs_time engine=helix-f3270d5 date=20260808-023215
# suite=tests/data/stockfish-bench-all.epd pvs=on nmp=on reps=3 positions=309
fen_id,budget_ms,rep,pvs,nmp,completed_depth,seldepth,nodes,qnodes,researches,null_cutoffs,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
5,100,0,on,on,5,18,155648,96536,6,155,38983,1966,6447,9,0.0504,96,f4f3,hard_time
5,100,1,on,on,5,18,155648,96536,6,155,38983,1966,6447,9,0.0504,95,f4f3,hard_time
5,100,2,on,on,5,18,155648,96536,6,155,38983,1966,6447,9,0.0504,95,f4f3,hard_time
5,250,0,on,on,6,19,375808,232342,12,631,98084,5767,19720,142,0.0588,236,f4f3,hard_time
5,250,1,on,on,6,19,375808,232342,12,631,98084,5767,19720,142,0.0588,237,f4f3,hard_time
5,250,2,on,on,6,19,375808,232342,12,631,98084,5767,19720,142,0.0588,236,f4f3,hard_time
5,500,0,on,on,7,19,595579,359839,12,1234,148757,11049,31153,388,0.0743,358,f4f3,soft_time
5,500,1,on,on,7,19,595579,359839,12,1234,148757,11049,31153,388,0.0743,363,f4f3,soft_time
5,500,2,on,on,7,19,595579,359839,12,1234,148757,11049,31153,388,0.0743,359,f4f3,soft_time
5,1000,0,on,on,7,21,1595392,978802,38,3153,384635,29839,71546,1698,0.0776,953,f4f3,hard_time
5,1000,1,on,on,7,21,1595392,978802,38,3153,384635,29839,71546,1698,0.0776,953,f4f3,hard_time
5,1000,2,on,on,7,21,1595392,978802,38,3153,384635,29839,71546,1698,0.0776,950,f4f3,hard_time
6,10,0,on,on,4,14,13780,8745,1,39,2856,163,633,0,0.0571,7,b4b2,soft_time
6,10,1,on,on,4,14,13780,8745,1,39,2856,163,633,0,0.0571,7,b4b2,soft_time
6,10,2,on,on,4,14,13780,8745,1,39,2856,163,633,0,0.0571,7,b4b2,soft_time
6,25,0,on,on,4,14,38912,23448,1,42,9278,823,2239,0,0.0887,22,b4b2,hard_time
6,25,1,on,on,4,14,40960,24452,1,47,9360,862,2299,0,0.0921,22,b4b2,hard_time
6,25,2,on,on,4,14,39936,23957,1,47,9326,845,2265,0,0.0906,22,b4b2,hard_time
6,50,0,on,on,5,19,87040,53516,1,103,18422,1457,3834,2,0.0791,48,b4b2,hard_time
6,50,1,on,on,5,19,79872,49975,1,103,18079,1336,3617,2,0.0739,46,b4b2,hard_time
6,50,2,on,on,5,19,78848,49479,1,103,18047,1319,3587,2,0.0731,47,b4b2,hard_time
6,100,0,on,on,5,19,181248,107167,1,327,32572,3003,7858,17,0.0922,94,b4b2,hard_time
6,100,1,on,on,5,19,182272,107972,1,329,33003,3036,7947,17,0.0920,95,b4b2,hard_time
6,100,2,on,on,5,19,181248,107167,1,327,32572,3003,7858,17,0.0922,95,b4b2,hard_time
6,250,0,on,on,6,19,448512,266960,5,1301,84182,7827,19032,121,0.0930,236,b4b2,hard_time
6,250,1,on,on,6,19,449536,267526,5,1311,84274,7827,19042,121,0.0929,237,b4b2,hard_time
6,250,2,on,on,6,19,453632,269549,5,1312,84478,7898,19179,121,0.0935,238,b4b2,hard_time
6,500,0,on,on,6,19,1025024,581952,5,1811,147246,11296,36661,453,0.0767,476,b4b2,hard_time
6,500,1,on,on,6,19,1025024,581952,5,1811,147246,11296,36661,453,0.0767,476,b4b2,hard_time
6,500,2,on,on,6,19,1025024,581952,5,1811,147246,11296,36661,453,0.0767,475,b4b2,hard_time
6,1000,0,on,on,7,22,1770496,1076329,8,3346,339056,21323,70073,1839,0.0629,950,b4b2,hard_time
6,1000,1,on,on,7,22,1775616,1079370,8,3346,340162,21330,70270,1853,0.0627,949,b4b2,hard_time
6,1000,2,on,on,7,22,1777664,1080461,8,3346,340353,21331,70332,1854,0.0627,950,b4b2,hard_time
7,10,0,on,on,3,14,12288,8517,1,18,4123,166,726,0,0.0403,10,b5d6,hard_time
7,10,1,on,on,3,14,12288,8517,1,18,4123,166,726,0,0.0403,9,b5d6,hard_time
7,10,2,on,on,3,14,12288,8517,1,18,4123,166,726,0,0.0403,10,b5d6,hard_time
7,25,0,on,on,4,14,36864,22142,10,23,8082,724,1892,0,0.0896,23,f4g3,hard_time
7,25,1,on,on,4,14,36864,22142,10,23,8082,724,1892,0,0.0896,23,f4g3,hard_time
7,25,2,on,on,4,14,36864,22142,10,23,8082,724,1892,0,0.0896,23,f4g3,hard_time
7,50,0,on,on,5,14,75047,42321,10,44,11407,1198,2955,0,0.1050,39,f4g3,soft_time
7,50,1,on,on,5,14,75047,42321,10,44,11407,1198,2955,0,0.1050,39,f4g3,soft_time
7,50,2,on,on,5,14,75047,42321,10,44,11407,1198,2955,0,0.1050,39,f4g3,soft_time
7,100,0,on,on,5,17,140288,88187,11,667,34838,3199,8561,17,0.0918,95,f4g3,hard_time
7,100,1,on,on,5,17,140288,88187,11,667,34838,3199,8561,17,0.0918,95,f4g3,hard_time
7,100,2,on,on,5,17,140288,88187,11,667,34838,3199,8561,17,0.0918,95,f4g3,hard_time
7,250,0,on,on,6,18,418816,239902,17,1319,78813,9945,21815,168,0.1262,236,f4e5,hard_time
7,250,1,on,on,6,18,421888,241402,17,1325,78908,9993,21891,169,0.1266,236,f4e5,hard_time
7,250,2,on,on,6,18,417792,239395,17,1317,78767,9927,21789,168,0.1260,236,f4e5,hard_time
7,500,0,on,on,7,23,820224,473882,17,2828,160786,21030,43320,619,0.1308,475,f4g3,hard_time
7,500,1,on,on,7,23,820224,473882,17,2828,160786,21030,43320,619,0.1308,474,f4g3,hard_time
7,500,2,on,on,7,23,818176,472188,17,2822,159958,21000,43164,615,0.1313,474,f4g3,hard_time
7,1000,0,on,on,8,23,1469390,912546,21,7365,354034,43630,86332,2609,0.1232,951,f4e5,soft_time
7,1000,1,on,on,7,23,1464320,908377,21,7311,351728,43452,86031,2590,0.1235,949,f4g3,hard_time
7,1000,2,on,on,8,23,1469390,912546,21,7365,354034,43630,86332,2609,0.1232,951,f4e5,soft_time
8,10,0,on,on,3,11,12288,8120,0,0,3157,91,518,0,0.0288,8,a1d1,hard_time
8,10,1,on,on,3,11,13312,9046,0,0,3661,96,562,0,0.0262,8,a1d1,hard_time
8,10,2,on,on,3,11,14336,9963,0,3,4119,106,602,0,0.0257,9,a1d1,hard_time
8,25,0,on,on,4,13,21728,16331,0,32,7520,187,1065,0,0.0249,17,a1d1,soft_time
8,25,1,on,on,4,13,21728,16331,0,32,7520,187,1065,0,0.0249,16,a1d1,soft_time
8,25,2,on,on,4,13,21728,16331,0,32,7520,187,1065,0,0.0249,16,a1d1,soft_time
8,50,0,on,on,4,17,81920,53255,6,39,18776,856,2889,4,0.0456,47,a1d1,hard_time
8,50,1,on,on,4,17,81920,53255,6,39,18776,856,2889,4,0.0456,48,a1d1,hard_time
8,50,2,on,on,4,17,81920,53255,6,39,18776,856,2889,4,0.0456,47,a1d1,hard_time
8,100,0,on,on,5,17,162527,100674,6,71,30783,1380,4711,10,0.0448,87,a1d1,soft_time
8,100,1,on,on,5,17,162527,100674,6,71,30783,1380,4711,10,0.0448,86,a1d1,soft_time
8,100,2,on,on,5,17,162527,100674,6,71,30783,1380,4711,10,0.0448,86,a1d1,soft_time
8,250,0,on,on,5,20,339968,244059,13,534,104799,4360,14245,81,0.0416,236,a1d1,hard_time
8,250,1,on,on,5,20,338944,243204,13,534,104282,4358,14191,80,0.0418,236,a1d1,hard_time
8,250,2,on,on,5,20,337920,242377,13,521,103816,4324,14140,80,0.0417,236,a1d1,hard_time
8,500,0,on,on,6,20,523504,391289,13,951,181085,7054,24382,252,0.0390,395,a1d1,soft_time
8,500,1,on,on,6,20,523504,391289,13,951,181085,7054,24382,252,0.0390,390,a1d1,soft_time
8,500,2,on,on,6,20,523504,391289,13,951,181085,7054,24382,252,0.0390,391,a1d1,soft_time
8,1000,0,on,on,6,22,1633280,1055141,15,2175,365246,20480,56438,1197,0.0561,949,a1d1,hard_time
8,1000,1,on,on,6,22,1628160,1052036,15,2175,364317,20461,56294,1188,0.0562,949,a1d1,hard_time
8,1000,2,on,on,6,22,1639424,1059455,15,2175,366820,20502,56575,1209,0.0559,950,a1d1,hard_time
9,10,0,on,on,3,11,15360,10082,1,7,3218,119,578,0,0.0370,8,e3g3,hard_time
9,10,1,on,on,3,11,17408,11678,1,19,3960,139,789,0,0.0351,10,e3g3,hard_time
9,10,2,on,on,3,11,17408,11678,1,19,3960,139,789,0,0.0351,10,e3g3,hard_time
9,25,0,on,on,4,12,33792,23047,1,35,9484,403,2065,2,0.0425,22,e3g3,hard_time
9,25,1,on,on,4,12,33792,23047,1,35,9484,403,2065,2,0.0425,23,e3g3,hard_time
9,25,2,on,on,4,12,33792,23047,1,35,9484,403,2065,2,0.0425,23,e3g3,hard_time
9,50,0,on,on,4,12,98304,56196,1,56,13535,1368,3730,5,0.1011,46,e3g3,hard_time
9,50,1,on,on,4,12,98304,56196,1,56,13535,1368,3730,5,0.1011,46,e3g3,hard_time
9,50,2,on,on,4,12,100352,57290,1,58,13681,1392,3771,5,0.1017,47,e3g3,hard_time
9,100,0,on,on,5,17,190464,111575,1,261,30030,3144,7770,20,0.1047,94,e3g3,hard_time
