# experiment=time_to_quality engine=helix-f3270d5 date=20260808-053245
# suite=tests/data/stockfish-bench-all.epd nmp=off reps=3 positions=309
# scored with stockfish depth=20
fen_id,fen,budget_ms,rep,nmp,bestmove,completed_depth,nodes,time_ms,stop_reason,sf_best,sf_eval_best,sf_eval_played,cpl,agreement
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,250,0,off,d5e6,4,290816,236,hard_time,d5e6,-183,-183,0,1
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,250,1,off,d5e6,4,291840,236,hard_time,d5e6,-183,-183,0,1
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,250,2,off,d5e6,4,294912,236,hard_time,d5e6,-183,-183,0,1
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,500,0,off,e2a6,5,583680,475,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,500,1,off,e2a6,5,589824,475,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,500,2,off,e2a6,5,591872,474,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,1000,0,off,e2a6,5,1077248,949,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,1000,1,off,e2a6,5,1057792,949,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,1000,2,off,e2a6,5,1077248,950,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,2000,0,off,e2a6,6,1586266,1433,soft_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,2000,1,off,e2a6,6,1586266,1430,soft_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,2000,2,off,e2a6,6,1586266,1457,soft_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,5000,0,off,e2a6,6,6276096,4750,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,5000,1,off,e2a6,6,6263808,4749,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,5000,2,off,e2a6,6,6336512,4749,hard_time,d5e6,-183,-221,38,0
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,10,0,off,b4f4,5,14336,9,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,10,1,off,b4f4,5,14336,9,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,10,2,off,b4f4,5,14336,8,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,25,0,off,b4f4,6,38912,22,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,25,1,off,b4f4,6,40960,23,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,25,2,off,b4f4,6,41984,22,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,50,0,off,b4f4,7,86016,47,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,50,1,off,b4f4,7,84992,47,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,50,2,off,b4f4,7,84992,46,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,100,0,off,b4f4,7,142336,96,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,100,1,off,b4f4,7,142336,95,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,100,2,off,b4f4,7,143360,95,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,250,0,off,b4f4,8,408576,236,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,250,1,off,b4f4,8,408576,237,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,250,2,off,b4f4,8,408576,236,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,500,0,off,b4f4,9,784384,475,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,500,1,off,b4f4,9,786432,475,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,500,2,off,b4f4,9,785408,474,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,1000,0,off,b4f4,10,1146932,788,soft_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,1000,1,off,b4f4,10,1146932,786,soft_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,1000,2,off,b4f4,10,1146932,778,soft_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,2000,0,off,b4f4,10,3215360,1899,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,2000,1,off,b4f4,10,3216384,1900,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,2000,2,off,b4f4,10,3144704,1900,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,5000,0,off,b4f4,11,8239104,4749,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,5000,1,off,b4f4,11,8140800,4749,hard_time,b4f4,0,0,0,1
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,5000,2,off,b4f4,11,8174592,4750,hard_time,b4f4,0,0,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,10,0,off,f5d3,4,13866,8,soft_time,f5d3,18,18,0,1
3,4rrk1/pp1n3p/3q2pQ/2p1pb2/2PP4/2P3N1/P2B2PP/4RRK1 b - - 7 19,10,1,off,f5d3,4,13866,8,soft_time,f5d3,18,18,0,1
